,Player,DRIVEPTS,CSPTS,PULLPTS,PAINTPTS,POSTPTS,ELBOWPTS,DRIVEPTS%,CSPTS%,PULLPTS%,PAINTPTS%,POSTPTS%,ELBOWPTS%
237,Jaylen Adams,0.5,1.5,1.0,0.0,0.0,0.0,0.318,0.354,0.325,0.0,0.0,0.0
238,Jaylen Brown,3.1,3.7,1.9,1.8,0.9,0.5,0.494,0.364,0.39299999999999996,0.555,0.5660000000000001,0.696
239,Jaylen Morris,0.0,0.8,0.0,0.0,0.0,0.5,0.0,0.33299999999999996,0.0,0.0,0.0,1.0
240,Jayson Tatum,3.1,3.2,4.3,1.8,1.1,0.9,0.46,0.397,0.35700000000000004,0.606,0.47100000000000003,0.667
241,Jeff Green,1.9,4.6,1.2,2.2,0.7,0.6,0.556,0.385,0.33299999999999996,0.695,0.409,0.529
242,Jeff Teague,6.4,1.1,3.2,0.2,0.0,0.0,0.43799999999999994,0.381,0.368,0.6,0.0,0.25
243,Jemerrio Jones,0.2,1.0,0.0,2.3,0.0,0.7,0.0,0.25,0.0,0.583,0.0,1.0
244,Jerami Grant,1.7,4.8,0.2,3.6,0.9,1.4,0.39799999999999996,0.406,0.29,0.657,0.509,0.524
245,Jeremy Lamb,5.7,3.6,3.7,1.1,0.1,0.4,0.429,0.39899999999999997,0.41600000000000004,0.606,0.25,0.531
246,Jeremy Lin,4.1,1.4,2.3,0.1,0.0,0.2,0.507,0.28600000000000003,0.402,0.308,0.0,0.462
247,Jerian Grant,0.9,1.6,1.4,0.0,0.0,0.1,0.377,0.41,0.38299999999999995,0.0,0.0,1.0
248,Jerome Robinson,0.7,1.5,0.9,0.1,0.0,0.2,0.455,0.34,0.429,0.667,0.0,1.0
249,Jerryd Bayless,1.4,1.9,2.3,0.1,0.1,0.1,0.35200000000000004,0.33299999999999996,0.327,0.667,1.0,0.5
250,Jevon Carter,0.5,1.7,1.5,0.0,0.0,0.0,0.214,0.34299999999999997,0.28,0.0,0.0,0.0
